student_id,class_section,study_hours_per_week,sleep_hours_per_night,attendance_pct,exam_score
1,C,11.0,7.3,89.4,100.0
2,B,9.1,7.7,72.4,72.2
3,C,2.2,8.5,84.6,67.2
4,A,13.5,7.5,83.4,100.0
5,B,11.0,5.4,100.0,100.0
6,C,5.3,8.9,82.4,76.0
7,B,7.6,4.7,83.8,70.4
8,A,4.5,7.7,87.1,79.1
9,C,11.1,8.5,95.9,100.0
10,C,15.6,6.2,100.0,100.0
11,A,14.4,6.9,90.1,94.8
12,C,5.6,6.9,90.9,70.5
13,C,4.1,5.7,100.0,100.0
14,A,12.0,7.4,86.5,96.0
15,C,16.0,5.9,90.1,95.2
16,C,10.3,7.4,80.0,77.8
17,A,13.8,7.7,84.4,100.0
18,A,5.2,8.3,78.2,86.2
19,C,9.7,8.6,100.0,93.5
20,B,11.6,7.5,93.7,90.4
21,B,8.7,7.6,92.8,92.9
22,B,9.3,6.7,75.9,92.7
23,B,12.5,6.9,87.0,97.6
24,A,7.9,8.0,79.0,71.9
25,A,6.6,7.9,79.0,81.6
26,B,12.7,7.6,72.4,100.0
27,C,10.9,7.0,79.4,85.4
28,B,6.6,8.2,100.0,75.8
29,B,11.6,5.7,79.8,85.5
30,A,8.1,6.4,92.7,78.2
31,C,12.3,7.3,95.4,100.0
32,A,10.0,8.3,90.5,95.8
33,C,9.1,5.6,93.5,83.1
34,B,7.4,5.8,76.0,70.9
35,B,10.8,5.6,100.0,92.3
36,B,9.9,7.9,100.0,84.7
37,A,16.7,7.9,86.3,100.0
38,A,9.9,8.8,78.9,89.3
39,B,5.4,9.7,77.6,62.6
40,A,17.3,5.6,72.6,100.0
41,A,2.9,6.8,91.9,64.6
42,A,15.8,6.4,94.3,100.0
43,C,7.0,5.7,100.0,88.5
44,C,14.9,7.1,72.8,100.0
45,B,9.4,6.4,94.3,70.6
46,B,12.0,7.2,92.7,89.5
47,C,10.2,6.6,83.2,100.0
48,A,9.7,5.3,77.0,93.8
49,B,11.9,7.7,88.7,86.7
50,A,7.8,7.7,100.0,63.1
51,B,11.7,6.5,73.0,93.4
52,C,6.3,4.5,79.8,71.4
53,C,7.5,4.3,80.4,83.5
54,A,8.3,5.4,84.3,75.0
55,B,9.7,7.4,96.6,100.0
56,A,14.3,7.8,80.9,94.3
57,C,7.1,7.1,62.9,82.8
58,A,7.0,7.1,73.0,77.5
59,A,6.1,4.0,72.8,71.1
60,A,8.6,7.4,88.2,91.7
61,A,12.0,6.2,87.1,97.2
62,C,7.4,6.7,74.1,87.0
63,B,9.0,5.9,92.8,83.9
64,B,8.0,4.7,67.3,84.9
65,A,10.3,7.9,83.6,80.0
66,A,3.0,7.4,98.6,74.8
67,B,12.1,5.7,69.8,89.8
68,B,13.3,5.2,91.5,72.8
69,C,7.1,6.2,95.8,75.1
70,B,9.8,8.0,80.9,84.0
71,A,6.8,7.6,87.1,98.4
72,A,13.5,7.0,70.6,100.0
73,B,12.2,8.0,88.8,89.9
74,A,20.2,7.4,73.4,100.0
75,C,9.3,5.9,79.8,81.9
76,C,7.0,7.7,89.6,95.3
77,C,8.4,6.9,81.6,84.9
78,A,5.6,6.0,74.4,68.1
79,C,10.8,8.3,84.9,81.2
80,A,11.1,7.5,82.6,89.6
81,A,13.3,5.3,77.2,100.0
82,C,11.5,7.9,65.4,93.1
83,A,8.6,7.2,83.2,100.0
84,C,14.6,6.6,94.0,100.0
85,C,12.1,6.4,79.0,100.0
86,B,13.0,5.8,79.6,100.0
87,B,6.0,5.3,80.4,78.6
88,C,7.1,7.3,89.2,83.9
89,C,7.8,7.5,70.0,78.9
90,A,8.7,6.6,92.7,92.5
91,C,2.4,7.3,100.0,81.9
92,B,14.3,6.5,89.9,98.8
93,A,9.4,6.6,85.8,81.1
94,C,13.1,7.6,89.5,90.4
95,C,12.8,7.5,90.0,99.8
